name,location,type,lat,long,facing,notes
Pipeline,"Oahu, HI",Reef,21.6628,-158.0529,NW,"World-famous barreling wave with powerful, hollow tubes; best suited to experienced surfers"
Teahupo'o,"Tahiti",Reef,-17.8517,-149.2674,SSW,"Heavy, shallow reef break with exceptionally thick barrels; only for advanced surfers"
Jeffreys Bay,"Eastern Cape, SA",Point,-34.0507,24.9182,SW,"Long, fast right-hand point break with multiple sections; excellent on a good swell"
Uluwatu,"Bali",Reef,-8.8307,115.0851,SW,"Iconic reef break with several sections and consistent waves; crowded but offers options for experienced surfers"
Cloudbreak,"Fiji",Reef,-17.8744,177.1825,SW,"Powerful left-hand reef break with long barrels; can become extremely heavy on larger swells"
Bells Beach,"Victoria, AUS",Reef,-38.3680,144.2825,S,"Iconic long-running right-hand point break with powerful walls; best with solid southwest swell"
Mundaka,"Basque, Spain",River-mouth,43.4076,-2.6981,NW,"World-famous left-hand barrel over a river mouth; highly dependent on swell, tide, and sandbar conditions"
Supertubos,"Peniche, Portugal",Beach,39.3515,-9.3844,WNW,"Fast, hollow beach break famous for powerful barrels; shifting peaks and strong currents"
Puerto Escondido,"Oaxaca, Mexico",Beach,15.8635,-97.0689,SSW,"Powerful beach break with heavy barrels; can be extremely dangerous when large but offers excellent waves at manageable size"
Mavericks,"Half Moon Bay, CA",Reef,37.4972,-122.5008,W,"Famous big-wave break with enormous, cold-water waves; strictly for highly experienced big-wave surfers"
Matunuck,"Matunuck, RI",Reef,41.3725,-71.5387,SSE,"Great wave but crowded, long walk-out over cobblestone boulders at lower tides"
El Sunzal,"El Salvador",Point,13.4906,-89.3904,S,"Incredible right-hand point break"
